Date,Int,Pressure,PumpState
2017-08-24 20:31:54.450,0,68.87885,
2017-08-24 20:31:54.970,0,60.8150987,
2017-08-24 20:31:55.450,0,55.8926339,
2017-08-24 20:31:55.970,0,52.4244163,
2017-08-24 20:31:56.250,0,48.6084033,
2017-08-24 20:31:56.720,0,45.5259046,
2017-08-24 20:31:56.980,0,42.1387924,
2017-08-24 20:31:57.470,0,39.4064751,
2017-08-24 20:31:58.000,0,36.8245093,
2017-08-24 20:31:58.700,0,34.3861163,
2017-08-24 20:31:59.220,0,32.0847543,
2017-08-24 20:31:59.940,0,29.9141124,
2017-08-24 20:32:00.720,0,27.8681051,
2017-08-24 20:32:01.720,0,25.9408664,
2017-08-24 20:32:02.730,0,24.1267444,
2017-08-24 20:32:04.200,0,22.4202956,
2017-08-24 20:32:05.450,0,20.8162798,
2017-08-24 20:32:06.700,0,19.3096544,
2017-08-24 20:32:08.440,0,17.8955693,
2017-08-24 20:32:09.980,0,16.5693619,
2017-08-24 20:32:11.950,0,15.3265517,
2017-08-24 20:32:13.970,0,14.1628355,
2017-08-24 20:32:16.450,0,13.0740823,
2017-08-24 20:32:19.200,0,12.0563286,
2017-08-24 20:32:22.200,0,11.1057737,
2017-08-24 20:32:26.190,0,10.2187746,
2017-08-24 20:32:30.440,0,9.39184175,
2017-08-24 20:32:35.720,0,8.62163437,
2017-08-24 20:32:36.440,0,,2.0
2017-08-24 20:32:41.890,0,7.90495602,
2017-08-24 20:32:42.750,0,7.23875014,
2017-08-24 20:32:43.730,0,6.62009579,
2017-08-24 20:32:44.250,0,,
2017-08-24 20:32:44.440,0,6.04620338,
2017-08-24 20:32:45.690,0,5.51441053,
2017-08-24 20:32:46.230,0,,
2017-08-24 20:32:46.950,0,5.02217795,
2017-08-24 20:32:48.730,0,4.56708546,
2017-08-24 20:32:49.980,0,,
2017-08-24 20:32:51.200,0,4.14682799,
2017-08-24 20:32:55.440,0,3.7592118,
2017-08-24 20:33:02.980,0,3.40215061,
2017-08-24 20:33:11.440,0,,
2017-08-24 20:33:16.950,0,3.07366191,
2017-08-24 20:33:39.220,0,,
2017-08-24 20:33:42.440,0,3.40215061,
2017-08-24 20:33:44.700,0,,
2017-08-24 20:33:45.970,0,3.7592118,
2017-08-24 20:33:54.190,0,4.14682799,
2017-08-24 20:33:59.690,0,,
2017-08-24 20:34:57.690,0,3.7592118,
2017-08-24 20:35:38.690,0,,
2017-08-24 20:35:59.220,0,3.40215061,
2017-08-24 20:37:30.190,0,3.07366191,
2017-08-24 20:40:03.700,0,2.77186333,
2017-08-24 20:46:06.950,0,2.49496905,
2017-08-24 21:11:55.220,0,2.24128631,
2017-08-24 21:40:45.270,0,,
2017-08-24 22:44:51.560,0,2.00921197,
2017-08-24 22:45:55.530,0,,16.0
2017-08-24 22:46:21.530,0,,32.0
2017-08-25 00:22:25.660,0,,1.0
2017-08-25 00:22:25.920,0,1253.82779,
2017-08-25 00:22:25.980,0,7832.93958,
2017-08-25 00:22:26.280,0,9878.67775,
2017-08-25 00:22:35.630,0,7832.93958,
2017-08-25 00:22:36.140,0,6273.09145,
2017-08-25 00:22:36.440,0,4747.83961,
2017-08-25 00:22:36.880,0,3357.83421,
2017-08-25 00:22:37.140,0,2424.89341,
2017-08-25 00:22:37.450,0,2103.78309,
2017-08-25 00:22:37.640,0,1812.4321,
2017-08-25 00:22:37.920,0,1616.41096,
2017-08-25 00:22:38.190,0,1434.30858,
2017-08-25 00:22:38.480,0,1172.81086,
2017-08-25 00:22:38.890,0,945.351427,
2017-08-25 00:22:39.200,0,827.812947,
2017-08-25 00:22:39.520,0,771.962107,
2017-08-25 00:22:39.910,0,620.294039,
2017-08-25 00:22:40.220,0,519.129087,
2017-08-25 00:22:40.520,0,427.874887,
2017-08-25 00:22:40.880,0,348.653355,
2017-08-25 00:22:41.140,0,282.476125,
